"sample"	"instrument"	"run_date"	"file"	"labshare_path"
"100Cpos"	"FSN10115"	"2015-08-21 05:28:01Z"	"100Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/100Cpos.raw"
"100Npos"	"FSN10115"	"2015-08-21 05:11:42Z"	"100Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/100Npos.raw"
"10bCpos"	"FSN10352"	"2015-09-05 05:48:21Z"	"10bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/10bCpos.raw"
"10bNpos"	"FSN10352"	"2015-09-05 05:31:33Z"	"10bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/10bNpos.raw"
"11bCpos"	"FSN10352"	"2015-09-05 05:15:04Z"	"11bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/11bCpos.raw"
"11bNpos"	"FSN10352"	"2015-09-05 04:58:20Z"	"11bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/11bNpos.raw"
"12bCpos"	"FSN10352"	"2015-09-05 04:40:55Z"	"12bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/12bCpos.raw"
"12bNpos"	"FSN10352"	"2015-09-05 04:07:31Z"	"12bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/12bNpos.raw"
"145Cposrr_150921202834"	"FSN10352"	"2015-09-21 20:28:33Z"	"145Cposrr_150921202834.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 21 2015 runs/lc vs normal tissue pos/145Cposrr_150921202834.raw"
"145Npos"	"FSN10115"	"2014-12-19 17:09:06Z"	"145Npos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 19 2014 runs/positive mode tissue samples/145Npos.raw"
"147Cpos"	"FSN10115"	"2014-12-19 18:50:26Z"	"147Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 19 2014 runs/positive mode tissue samples/147Cpos.raw"
"147Npos"	"FSN10115"	"2014-12-19 18:16:36Z"	"147Npos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 19 2014 runs/positive mode tissue samples/147Npos.raw"
"148Cpos"	"FSN10352"	"2015-09-04 08:08:37Z"	"148Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/148Cpos.raw"
"148Npos"	"FSN10352"	"2015-09-04 07:50:44Z"	"148Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/148Npos.raw"
"149Cpos"	"FSN10115"	"2014-12-19 19:58:25Z"	"149Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 19 2014 runs/positive mode tissue samples/149Cpos.raw"
"149Nposd"	"FSN10115"	"2015-01-08 12:11:46Z"	"149Nposd.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 8 2015 runs/positive mode tissue samples/149Nposd.raw"
"150Cposc"	"FSN10115"	"2015-01-07 19:38:21Z"	"150Cposc.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 7 2015 runs/positive mode tissue samples/150Cposc.raw"
"150Npos"	"FSN10115"	"2014-12-19 20:31:46Z"	"150Npos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 19 2014 runs/positive mode tissue samples/150Npos.raw"
"151Cposd"	"FSN10115"	"2015-01-08 12:28:40Z"	"151Cposd.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 8 2015 runs/positive mode tissue samples/151Cposd.raw"
"151Nposc"	"FSN10115"	"2015-01-07 19:54:51Z"	"151Nposc.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 7 2015 runs/positive mode tissue samples/151Nposc.raw"
"154Cposd"	"FSN10115"	"2015-01-08 13:19:13Z"	"154Cposd.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 8 2015 runs/positive mode tissue samples/154Cposd.raw"
"154Npose"	"FSN10115"	"2015-01-08 15:37:16Z"	"154Npose.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 8 2015 runs/positive mode tissue samples/154Npose.raw"
"155Cpos"	"FSN10115"	"2014-12-20 16:26:04Z"	"155Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/155Cpos.raw"
"155Nposr"	"FSN10352"	"2015-09-16 19:22:13Z"	"155Nposr.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 16 2015 runs/lung cancer tissue reruns pos mode/155Nposr.raw"
"158Cposd"	"FSN10115"	"2015-01-08 13:52:55Z"	"158Cposd.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 8 2015 runs/positive mode tissue samples/158Cposd.raw"
"158Nposc"	"FSN10115"	"2015-01-07 21:36:05Z"	"158Nposc.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 7 2015 runs/positive mode tissue samples/158Nposc.raw"
"159Cpos"	"FSN10115"	"2014-12-20 17:51:00Z"	"159Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/159Cpos.raw"
"159Nposc"	"FSN10115"	"2015-01-07 22:09:45Z"	"159Nposc.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 7 2015 runs/positive mode tissue samples/159Nposc.raw"
"160Cpos"	"FSN10115"	"2014-12-20 18:07:28Z"	"160Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/160Cpos.raw"
"160Nposc"	"FSN10115"	"2015-01-07 22:26:55Z"	"160Nposc.raw"	"~Archive/Fahrenholz/February 11 2015 backup/January 7 2015 runs/positive mode tissue samples/160Nposc.raw"
"169Cpos"	"FSN10352"	"2015-09-04 07:17:06Z"	"169Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/169Cpos.raw"
"169Npos"	"FSN10352"	"2015-09-04 07:00:16Z"	"169Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/169Npos.raw"
"172Cpos"	"FSN10115"	"2014-12-20 19:15:05Z"	"172Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/172Cpos.raw"
"172Npos"	"FSN10115"	"2014-12-20 18:57:53Z"	"172Npos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/172Npos.raw"
"174Cpos"	"FSN10115"	"2014-12-20 19:49:01Z"	"174Cpos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/174Cpos.raw"
"174Npos"	"FSN10115"	"2014-12-20 19:32:15Z"	"174Npos.raw"	"~Archive/Fahrenholz/February 11 2015 backup/December 20 2014 runs/positive mode tissue samples/174Npos.raw"
"196Cpos"	"FSN10352"	"2015-09-04 06:44:10Z"	"196Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/196Cpos.raw"
"196Npos"	"FSN10352"	"2015-09-04 06:26:33Z"	"196Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/196Npos.raw"
