INFO [2022-04-01 10:29:18] Memory: Total: 32550220 kB, Available: 14370752 kB, Active: 5271016 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:21] Memory: Total: 32550220 kB, Available: 14378164 kB, Active: 5271048 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:21] Memory: Total: 32550220 kB, Available: 14376856 kB, Active: 5273028 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:29] Memory: Total: 32550220 kB, Available: 14350668 kB, Active: 5273068 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:30] Memory: Total: 32550220 kB, Available: 14309820 kB, Active: 5273076 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:38] Memory: Total: 32550220 kB, Available: 14307012 kB, Active: 5273096 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:39] Memory: Total: 32550220 kB, Available: 14313156 kB, Active: 5274868 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:42] Memory: Total: 32550220 kB, Available: 13994836 kB, Active: 5275240 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:43] Memory: Total: 32550220 kB, Available: 14013888 kB, Active: 5275256 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:50] Memory: Total: 32550220 kB, Available: 14045156 kB, Active: 5275416 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:51] Memory: Total: 32550220 kB, Available: 14047168 kB, Active: 5277336 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:54] Memory: Total: 32550220 kB, Available: 14087388 kB, Active: 5277380 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:55] Memory: Total: 32550220 kB, Available: 14088308 kB, Active: 5277384 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:58] Memory: Total: 32550220 kB, Available: 14027340 kB, Active: 5277400 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
INFO [2022-04-01 10:29:59] Memory: Total: 32550220 kB, Available: 14033556 kB, Active: 5279160 kB, SwapTotal: 16383480 kB, SwapFree: 16364148 kB
